"institution.name","collection","object_name","object_number","title","description","edition","creator","creator.role","production.place","production.date.start","production.date.start.prec","production.date.notes","production.date.end","production.date.end.prec","material","material.part","technique","technique.part","dimension.notes","dimension.part","dimension.value","dimension.unit","acquisition.date","acquisition.method","acquisition.place","exhibition","exhibition.date.start","exhibition.date.end","exhibition.venue.place","related_object.association","related_object.reference","related_object.title"
"Design Museum Gent","jaren 1970","deksel","1980-0010_2-2","Leerdam Unica MG 78161","De reeks 'Leerdam Unica' omvat de unieke creaties van Glasfabriek Leerdam naast de serieproductie. Mieke Groot ontwierp verschillende unica, waaronder deze kom met deksel. Het deksel in transparant glas is versierd met een grote bloem.","","Groot, Mieke","ontwerper","Leerdam","1978","","","1978","","glas (materiaal)","geheel","","","","geheel","8.2","cm","1980","aankoop","Leerdam","Hedendaags glas uit eigen kollekties","1993-12-22","1994-02-13","Gent","","",""
"Design Museum Gent","","lepel","2011-0026_10-11","Koffielepel 203 Moderne","Koffielepel behorende tot zilveren bestek 203 Moderne van Wolfers Frères. Een gestileerd irismotief geeft bestekmodel 203 zijn art-nouveaulook. Aan de achterzijde van de lepel ontluikt één bloem.","","Wolfers, Philippe","ontwerper","Brussel","1895","circa","dit object is gedateerd op basis van het meesterteken","1934","","zilver","","metaalbewerken","","","geheel","1.8","cm","","","","","","","","","",""
"Design Museum Gent","huishoudelijke apparaten","waterkoker","1997-0001","Elektrische waterketel 3607","Achtzijdige elektrische waterketel op ronde platte voet, modelnummer 3607. De waterketel heeft een schuin toelopend achtzijdige bovenkant omzoomd door een parelrand en wordt afgesloten met lichtgewelfd rond deksel. De knop van het deksel is uitgevoerd in hout, het beugelhandvat is met riet omwonden. Behrens ontwierp een bolvormig, ovaal en achthoekig model. Er bestonden drie maten van dit laatste model; deze ketel is de grootste maat, nl. 1,75 liter.
Peter Behrens ontwierp vanaf 1907, als artistiek adviseur, diverse huishoudelijke apparaten, een logo en het gebouw voor de Duitse producent AEG. Deze waterketel heeft nog de traditionele vorm van een niet-elektrische theepot, maar was een van de eerste toestellen waarin het verwarmingselement zich in de ketel bevond. Behrens waterketel is een van de vroegste industrieel vormgegeven huishoudelijke apparaten en bevindt zich in diverse kunst- en designmusea over de hele wereld.","","Behrens, Peter","ontwerper","Berlijn","1909","","datum ontwerp","","","messing","geheel","vernikkelen","","","geheel","40.5","cm","1996","aankoop","München","Object Stories. Een kijk op de collectie","2018-05-18","","Gent","","",""
"Design Museum Gent","","boterschaal","1989-0078_082-103","Boterschaaltje 200 Seagull","Boterschaaltje modelnummer 200 behorende tot het servies 'Seagull' met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","2","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","broodbord","1989-0078_014-103","Broodbord 28 A Seagull","Broodbord modelnummer 28 A behorende tot het servies 'Seagull' met gouden randjes. De serviesonderdelen zijn klassiek van vorm, maar het decor sluit aan bij een nieuw thema dat de art nouveau aanboorde, met name de natuur. Op een dégradé blauwe achtergrond zweeft een zeemeeuw door het luchtruim, zeepaardjes fungeren als handvatten van schalen en kommen. Het model van het servies - met schubbenmotief in reliëf - dateert uit de jaren 1880 en is van August Hallin. Het decor met de zeemeeuw is van de hand van Fanny Garde en dateert van 1895. Vanaf de jaren 1950 was het servies in één op tien Deense huishoudens te vinden, waardoor het werd bestempeld als het 'nationale Deense servies'. Er bestaat ook een versie zonder gouden randje.","","Garde, Fanny","ontwerper","Kopenhagen","1895","","datum ontwerp","","","porselein","geheel","vormgieten","","","geheel","2","cm","1990","aankoop","Gent","","","","","","",""
"Design Museum Gent","","vaas","1979-0010","Vaas","Enigzins gedrukte steengoed vaas met loopglazuur. Het oppervlak is glad en egaal donkerbruin. Vanaf de hals druipt een onregelmatige dikke witte glazuur langs de buik naar beneden.
Jean Pointu was sterk geïnspireerd door de oosterse keramiek, wat zich uit in zowel de glazuren als de soberheid van vorm.","","Pointu, Jean","ontwerper","Saint-Amand-en-Puisaye","1906","","Dit object is gedateerd op basis van het gegeven dat Pointu zich in 1906 in Saint-Amand-en-Puisaye vestigde en na WOI zijn activiteiten afbouwde.","1918","circa","steengoed","geheel","draaien (pottenbakkerstechniek)","geheel","","geheel","12.5","cm","1979","aankoop","Antwerpen (provincie)","Ravissante Revelaties","2014-04-26","2014-08-31","Gent","","",""
"Design Museum Gent","","fluitglas","1981-0001_3-3","Champagneglas","Fluitglas voor champagne. Op de wanden van de glazen is een zweepslagmotief gegraveerd.
Léon Ledru ontwierp deze glazen voor Val-Saint-Lambert. Hij uitte zich hierin als een gelijkdenkende van Henry van de Velde, die zijn ontwerpen toejuichte.
Met dank aan prof. dr. Werner Adriaenssens, conservator Decoratieve Kunsten 20ste eeuw Koninklijke Musea voor Kunst en Geschiedenis Brussel, voor de informatie","","Ledru, Léon","ontwerper","Luik (stad)","1897","circa","dit object is gedateerd op basis van een mededeling van Werner Adriaenssens.","1898","circa","kristal (loodglas)","geheel","blazen (modelleren)","","","geheel","17.2","cm","1981-04","schenking","Brussel","","","","","","",""
"Design Museum Gent","","melkkan","FH-0094_3-3","Melkkan","Melkkan behorend tot een éénpersoons theeservies in verzilverd metaal, ontworpen door Christopher Dresser en uitgevoerd door Hukin & Heath. Op de buik staat een wapenschildje.","","Dresser, Christopher","ontwerper","Londen","1879-10-18","","datum ontwerp [dit object is gedateerd op basis van registratiemerk]","","","tinwerk","geheel","smeden (metaalvorming)","geheel","","geheel","5.3","cm","2006-05-24","aankoop","München","Collectie in progress","2016-05-18","2018-04-02","Gent","","",""
"Design Museum Gent","","ontwerptekening","1996-0013_0-2","Ontwerptekeningen theepot en melkkan Bambou","Twee ontwerptekeningen, één voor de theepot Bambou en één voor de melkkan Bambou. Dit zijn de enige bewaarde voorbeelden van japonistische ontwerpen getekend door Philippe Wolfers. Zowel qua vorm als decor liet hij zich door het Verre Oosten inspireren. Centraal op de flank van de conische theekan is een half open vouwwaaier (sensu) voorgesteld, op de melkkan een waaier op steel (uchiwa). De banderol over de waaiers biedt ruimte voor eventuele eigenaarsinitialen. Ze zijn omgeven door dauwbraamtakken met bloemen en rijpe vruchten. Zoals dat ook in botanische boeken vaak het geval was, zijn de diverse bloeistadia van de plant hier gelijktijdig afgebeeld. Functionele onderdelen als pootjes, greep, schenktuit en dekselknop imiteren bamboestengels. De ontwerpen zijn kleurrijk uitgewerkt in aquarel en gouache, wat een uitvoering in verguld zilver met niëllo en email kan doen vermoeden. Daarvan bestaat echter geen enkel tastbaar bewijs. Het Design museum Gent bezit het enige bekende theekannetje Bambou, uitgevoerd in monochroom zilver.","","Wolfers, Philippe","ontwerper","Brussel","1885","circa","[dit object is gedateerd door Ko Goubert 2013]","1890","circa","papier (vezelproduct)","geheel","tekenen","geheel","","","","","1997","schenking","Gent","","","","","","FH-0065","Bambou"
"Design Museum Gent","","verlichtingsarmatuur","0710","Wandarm voor de eigen woning van Hankar","Paul Hankar (1859-1901) ontwierp deze verguld smeedijzeren twee-armige wandarm met orchideemotief voor zijn eigen woning (1893) in de Defacqzstraat te Brussel. In 1902 was ze op de internationale tentoonstelling voor decoratieve kunsten te Turijn te zien in de kunstenaarsstudio die architect-ontwerpers Léon Sneyers (1877-1949) en Adolphe Crespin (1859-1944) in het Belgische paviljoen inrichtten als eerbetoon aan de pas overleden Hankar.","","Hankar, Paul","ontwerper","Brussel","1893","circa","","1893","circa","smeedijzer","geheel","metaalbewerken","","","geheel","32.4","cm","1969","schenking","","Design Derby Nederland België 1815-2015","2015-06-20","2015-09-13","Rotterdam","","",""
"Design Museum Gent","","schrijftafel","1988-0004","Schrijftafel in neo-régence-stijl","19de-eeuwse schrijftafel in de stijl van de 18de-eeuwse meubelontwerper Charles Cressent. Kenmerkend zijn de vergulde omranding van de drie lades, de opgekrulde bladmotieven en de espagnolettes op de vier hoeken. De schrijftafel is afkomstig uit Hotel-d'Hane Steenhuyse.","","","","","1850","circa","datum uitvoering","1850","circa","hout","constructie","","","","geheel","76.5","cm","1986","aankoop","Gent","Het Bureau","2021-03-26","2021-09-12","Gent","","",""
"Design Museum Gent","","vingerkom","1987-1116_4-6","Vingerkom","Kristallen vingerkom met polychroom decor. De rand heeft een gouden biesje. Wand gedecoreerd met goudkleurig geometrisch motief bestaande uit twee horizontale lijntjes onderbroken door telkens vier vierkantjes. Tussen de vierkantjesmotieven een groter geel vierkant met ""opkomende zon"", waaraan een groene laurierkrans hangt.","","onbekend","uitvoerder","Duitsland","1900","circa","dit object is gedateerd op basis van stilistische kenmerken","1910","circa","kristal (loodglas)","geheel","blazen (modelleren)","","","geheel","6","cm","1987","legaat","Den Haag","","","","","","",""
"Design Museum Gent","","vingerkom","1987-1116_6-6","Vingerkom","Kristallen vingerkom met polychroom decor. De rand heeft een gouden biesje. Wand gedecoreerd met goudkleurig geometrisch motief bestaande uit twee horizontale lijntjes onderbroken door telkens vier vierkantjes. Tussen de vierkantjesmotieven een groter geel vierkant met ""opkomende zon"", waaraan een groene laurierkrans hangt.","","onbekend","uitvoerder","Duitsland","1900","circa","dit object is gedateerd op basis van stilistische kenmerken","1910","circa","kristal (loodglas)","geheel","blazen (modelleren)","","","geheel","6","cm","1987","legaat","Den Haag","","","","","","",""
"Design Museum Gent","","wijnglas","1987-1117_2-5","Wijnglas","Jugendstil wijnglas met polychroom decor. Kelk- en voetrand met gouden biesje. Kelk gedecoreerd met goudkleurig geometrisch motief dat de wand in vier verdeeld. Onder elk motief zes groene lindenblaadjes en twee streepjes. Tussen de motieven twee streepjes met eronder een gele bloem.","","onbekend","uitvoerder","Duitsland","1900","circa","dit object is gedateerd op basis van stilistische kenmerken","1910","circa","kristal (loodglas)","geheel","blazen (modelleren)","","","geheel","20.3","cm","1987","legaat","Den Haag","","","","","","",""
"Design Museum Gent","","vaas","1459","Amphora","Slanke vaas op kleine uitstaande voet, model nr. 210. Op een roomwitte faiencebasis is een geometrisch decor aangebracht in bruin, donkergeel en zwart. De decoratie is geconcentreerd op de hals en de voet. Andere vazen van hetzelfde model kunnen een andere kleurstelling hebben.","","van der Hoef, Christiaan Johannes","ontwerper","Amsterdam","1910","circa","datum uitvoering","","","faïence","geheel","vormgieten","","","geheel","25.8","cm","1913","aankoop","Gent","Design derby BE/NL 1815-2015","2015-10-23","2016-03-13","Gent","","",""
"Design Museum Gent","","inktpot","1423","Inktpot","Vierkante gekleurd glazen inktpot met turks aandoend rond getoept dekseltje. De wanden van de inktpot zijn gebold en de vier hoeken lopen naar boven in een punt. De kleurpoeders aangebracht in de wand zijn veglaasd in de oven en geven het oppervlak een decor van kleurvlekjes.","","Daum Frères","uitvoerder","Nancy","1910","circa","datum uitvoering","1914","circa","glas (materiaal)","geheel","vormgieten","geheel","","pot","9","cm","1923","","","De Art Nouveau verzameling uit het Museum voor Sierkunst","1979-09-21","1979-10-27","Limburg (provincie, België)","","",""
"Design Museum Gent","","nachttafel","1978-0043_2-2","Nachttafel voor Villa Les Glycines","Nachttafel in pitch pine met bronzen handgrepen naar ontwerp van Paul Hankar voor de cottage Les Glycines van Philippe Wolfers.","","Hankar, Paul","ontwerper","Brussel","1899","","datum ontwerp","1900","","pitch pine","constructie","beeldsnijden","","","geheel","120","cm","1978","aankoop","","","","","","","",""
"Design Museum Gent","","vaas","1479","Vaasje met slanke hals","Vaasje met slanke hals uitgevoerd in steengoed en voorzien van vaalbruine lopende glazuur","","Van den Houten, Léon","ontwerper","","1914","circa","","","","steengoed","geheel","draaien (pottenbakkerstechniek)","geheel","","geheel","18.3","cm","","","","","","","","zelfde kunstenaar","1404","Vaasje met ingesnoerde hals"
"Design Museum Gent","meubels","lambrisering","3608","Lambriseringsfragment met mascaron en vruchtenslinger","Bovenzijde van een massief lambriseringsfragment met een mascaron en vruchtenslinger.","","onbekend","ontwerper","","1580","vermoedelijk","datum uitvoering","1620","vermoedelijk","hout","geheel","","","","geheel","8","cm","","onbekend","","","","","","","",""
"Design Museum Gent","","vingerkom","1987-1116_3-6","Vingerkom","Kristallen vingerkom met polychroom decor. De rand heeft een gouden biesje. Wand gedecoreerd met goudkleurig geometrisch motief bestaande uit twee horizontale lijntjes onderbroken door telkens vier vierkantjes. Tussen de vierkantjesmotieven een groter geel vierkant met ""opkomende zon"", waaraan een groene laurierkrans hangt.","","onbekend","uitvoerder","Duitsland","1900","circa","dit object is gedateerd op basis van stilistische kenmerken","1910","circa","kristal (loodglas)","geheel","blazen (modelleren)","","","geheel","6","cm","1987","legaat","Den Haag","","","","","","",""
"Design Museum Gent","modelfragmenten","paneel (objectnaam)","0873","Paneel met wapenschild in maaswerk","Massief paneel met gevlamd maaswerk. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. In het maaswerk werd een wapenschild met twee Franse lelies en twee dolfijnen afgebeeld. De versiering wordt begrensd door een sterk geprofileerde V-vormige kantlijst met in de hoeken een hoekkruis. Deze lijst wordt niet vervolledigd aan de onderkant, wat kenmerkend is voor gotische panelen.","","onbekend","ontwerper","Frankrijk","1400","","datum uitvoering","1550","","eikenhout","geheel","","","","geheel","40.7","cm","","onbekend","","Gotische meubels, meubelfragmenten en textiel uit eigen verzamelingen","1982-06-19","1982-09-26","Gent","","",""
"Design Museum Gent","","vaas","1977-0013","Vaas met landschap","Afgeplatte ronde vaas in pâte de verre met vernauwde hals en kelkvormige halsopening. Het lichaam van de vaas is gedecoreerd met een geëtst landschap in groentinten op een haast witte ondergrond. Op de voorgrond van het landschap staat een grote loofboom, die een doorzicht biedt op een meer.
De combinatie van dit decor en model van Gallé is in meerdere kleurschakeringen uitgevoerd en was populair. Het decor komt ook op andere modellen voor.
","","Cristallerie Gallé","uitvoerder","Nancy","1906","circa","[dit object is gedateerd op basis van merk: merk zonder sterretje vanaf 1906]","1914","circa","pâte de verre","geheel","blazen (modelleren)","geheel","","geheel","14","cm","1977-05-09","aankoop","Brussel","Collectie in progress","2016-05-18","2018-04-02","Gent","","",""
"Design Museum Gent","","vaas","1987-1088","Vaas met ridderspoor","Kleine vaas in cameoglas, gedecoreerd met ridderspoor (Delphinium). De bloemen en bladeren van de ridderspoor steken in donkergroen af tegen de geelgroene achtergrond.
De vaas dateert mogelijk van na 1914, maar ademt de geest van de art nouveau.","","Cristallerie Gallé","uitvoerder","Nancy","1904","","[waarschijnlijk na dood Emile Gallé; datering adhv merk is moeilijk want momenteel exacte merk niet terug te vinden]","","","cameoglas","geheel","blazen (modelleren)","geheel","","geheel","9.5","cm","1987","legaat","Den Haag","","","","","","",""
"Design Museum Gent","modelfragmenten","paneel (objectnaam)","0834","Paneel met maaswerk","Massief paneel met gevlamd maaswerk versierd met drie centrale platgedrukte rozetten. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters.","","onbekend","ontwerper","","1400","","datum uitvoering","1499","","eikenhout","geheel","","","","geheel","46","cm","1913","legaat","","Gotische meubels, meubelfragmenten en textiel uit eigen verzamelingen","1982-06-19","1982-09-26","Gent","","",""
"Design Museum Gent","meubels","kapiteel","3344","Kapiteel met voluten en acanthusbladeren","Massief kapiteel met acanthusbladeren rond voluten.","","onbekend","ontwerper","","1620","vermoedelijk","datum uitvoering","1699","vermoedelijk","hout","geheel","","","","geheel","36","cm","","onbekend","","","","","","","",""
"Design Museum Gent","modelfragmenten","ornament","3727","Ornament met waaier","Massief paneel uitgewerkt als een waaier met laurier. Hoewel het fragment klein is, was het mogelijk een meubelonderdeel.","","onbekend","ontwerper","","1770","","datum uitvoering","1795","","hout","geheel","","","","geheel","37.6","cm","","onbekend","","","","","","","",""
"Design Museum Gent","meubels","vargueno","0805_1-2","Bovenste deel van een vargueno","Deze Spaanse vargueño, ook bekend onder de recentere benaming 'escritorio de Salamanca’, is een schrijfmeubel bestaande uit twee mobiele koffers met smeedijzeren handvaten. Het bovenste gedeelte is afgesloten door een neerklapbaar blad, versierd met uitgesneden en vergulde metalen platen in veelhoekige vormen, aangebracht op een rode fluwelen ondergrond. Het neergeklapte blad, steunend op twee schelpvormige dwarsstukken, dient als schrijftafel. Binnenin is de koffer samengesteld uit twaalf grote lades en een deurtje met daarachter drie kleinere lades. Het binnenwerk bestaat uit gebeeldhouwd en verguld hout afgewerkt met ivoren of benen inlegwerk en schelpvormige knoppen. De decoratie is kenmerkend voor de Spaanse mudejarstijl. De vargueno geldt als prototype van de 17de-eeuwse kunstkabinetten.","","onbekend","ontwerper","Spanje","1620","circa","datum uitvoering","1620","circa","hout","constructie","","","","geheel","63.5","cm","1913","legaat","Gent","Het Bureau","2021-03-26","2021-09-12","Gent","","",""
"Design Museum Gent","meubels","paneel (objectnaam)","0857","Paneel met centraal portretmedaillon en grotesken","Massief paneel met een vrouwenportret in een centraal medaillon. Het medaillon is omgeven door grotesken met bovenaan twee engelenkopjes. ","","onbekend","ontwerper","Vlaanderen","1880","vermoedelijk","datum uitvoering","1940","vermoedelijk","eikenhout","geheel","","","","geheel","58.5","cm","","onbekend","","","","","","","",""
"Design Museum Gent","modelfragmenten","paneel (objectnaam)","0836","Paneel met ajour maaswerk","Massief paneel met opengewerkt maaswerk met visblaasmotief rond een centrale vierpas. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. Er zijn sporen van rode en groene verf en aan de lange zijden werd het paneel afgewerkt met een geprofileerde lijst.","","onbekend","ontwerper","","1400","","datum uitvoering","1499","","eikenhout","geheel","","","","geheel","35.3","cm","","onbekend","","Gotische meubels, meubelfragmenten en textiel uit eigen verzamelingen","1982-06-19","1982-09-26","Gent","","",""
"Design Museum Gent","modelfragmenten","paneel (objectnaam)","0832","Paneel met maaswerk","Massief paneel met gevlamd maaswerk versierd met rozetten. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. De opbouw van het paneel vertoont gelijkenissen met paneel nummer 0833 in de collectie van Design Museum Gent.","","onbekend","ontwerper","","1400","","datum uitvoering","1499","","eikenhout","geheel","","","","geheel","42.8","cm","1909","onbekend","","Gotische meubels, meubelfragmenten en textiel uit eigen verzamelingen","1982-06-19","1982-09-26","Gent","","0833","Paneel met maaswerk"
"Design Museum Gent","meubels","paneel (objectnaam)","0838","Paneel met lambrekijn en acanthusbladeren","Massief paneel met symmetrisch acanthusbladwerk. Ook de profielen op de lange zijden werden uit hetzelfde hout gesneden. In het centrum is het paneel versierd met een lambrekijn; een drapering met drie kwasten. Tussen de acanthusbladeren werden verschillende kleine bloemen gesneden.","","onbekend","ontwerper","","1700","","datum uitvoering [Louis XIV - overgang naar Régence]","1730","","hout","geheel","","","","geheel","25","cm","","onbekend","","","","","","","",""
"Design Museum Gent","modelfragmenten","paneel (objectnaam)","0837","Paneel met centraal portretmedaillon en bladwerk","Massief paneel met mannenportret in een centraal medaillon. Boven en onder het medaillon is het paneel versierd met bladwerk en voluten. ","","onbekend","ontwerper","","1530","","datum uitvoering","1599","","eikenhout","geheel","","","","geheel","45","cm","","onbekend","","","","","","","",""
"Design Museum Gent","modelfragmenten","paneel (objectnaam)","0839","Paneel met vrouw in een nis","Massief paneel met een vrouw in een nis. De figuur steekt haar linkerhand op. De nis is links en rechts geflankeerd door een gestileerde vogel, mogelijk een pelikaan, en bovenop de nis staat vermoedelijk een adelaar met geopende vleugels.","","onbekend","ontwerper","Frankrijk","1620","","datum uitvoering","1640","","eikenhout","geheel","","","","geheel","52.5","cm","","onbekend","","","","","","","",""
"Design Museum Gent","modelfragmenten","paneel (objectnaam)","0841","Paneel met centraal portretmedaillon","Massief paneel met mannenportret in een centraal medaillon. Boven het medaillon is het paneel versierd met een gevleugelde draak.","","onbekend","ontwerper","","1520","","datum uitvoering","1550","","eikenhout","geheel","","","","geheel","40.6","cm","","onbekend","","","","","","","",""
"Design Museum Gent","modelfragmenten","paneel (objectnaam)","0847","Paneel met maaswerk","Massief paneel met maaswerk versierd met visblaasmotieven en een lelie. Maaswerk met visblaasmotieven was kenmerkend voor het laatgotische raamwerk van vensters. ","","onbekend","ontwerper","Frankrijk","1400","","datum uitvoering [Franse laatgotiek]","1520","","eikenhout","geheel","","","","geheel","41.7","cm","1909","onbekend","","Gotische meubels, meubelfragmenten en textiel uit eigen verzamelingen","1982-06-19","1982-09-26","Gent","","",""
